Food_code,Food_name,E_kcal,Prot_g,RAE_μg,VitC_mg,Thiamin_mg,Riboflavin_mg,Nia_mg,Fol_μg,VitB12_μg,Ca_mg,Fe_mg,Zn_mg
MZF0236,"juice, Santal, mixed fruit, sweetened with sugar,57,0.5,38,20.0,0.06,0.02,0.40",57,0.5,38,20.0,0.06,0.02,0.40,22,0.00,8,0.18,0.03
MZF0272,"non-alcoholic cereal beverage,37,0.8,0,0.0,0.02,0.02,0.20,,,37",0.8,0,0.0,0.02,0.02,0.20,,,37,,0.30,
MZF0271,"spirits (gin, rum, vodka, whiskey),275,0.0,0,0.0,0.00,0.01,0.00",275,0.0,0,0.0,0.00,0.01,0.00,0,0.00,0,0.04,0.04
MZF0011,"tea, prepared with tap water,1,0.0,0,0.0,0.00,0.01,0.00,5,0.00",1,0.0,0,0.0,0.00,0.01,0.00,5,0.00,0,0.02,0.02
MZF0225,water,0,0.0,0,0.0,0.00,0.00,0.00,0,0.00,0,0.00,0.00
MZF0013,"bread, wheat,255,8.5,0,0.0,0.15,0.04,1.20,30,0.00",255,8.5,0,0.0,0.15,0.04,1.20,30,0.00,56,1.20,1.00
MZF0014,"cookie, plain, commercial,451,7.4,0,0.0,0.13,0.08,1.50,13",451,7.4,0,0.0,0.13,0.08,1.50,13,0.00,120,2.10,0.60
MZF0015,"cookie, with creme filling, commercial,485,4.5,0,0.0,0.26,0.24,2.69,50",485,4.5,0,0.0,0.26,0.24,2.69,50,0.00,27,2.21,0.40
MZF0252,"macaroni, dry,363,13.0,0,0.0,0.09,0.06,1.70,18,0.00",363,13.0,0,0.0,0.09,0.06,1.70,18,0.00,21,1.30,1.41
MZF0017,maize meal,354,9.0,0,0.0,0.39,0.06,1.20,18,0.00,4,1.20,1.40
MZF0293,"maize, sweet, yellow, on cob,110,3.3,14,7.2,0.10,0.09,1.68",110,3.3,14,7.2,0.10,0.09,1.68,40,0.00,4,0.68,0.70
MZF0020,"oatmeal, uncooked,404,10.7,0,0.0,0.76,0.14,0.80,33,0.00",404,10.7,0,0.0,0.76,0.14,0.80,33,0.00,54,4.40,3.18
MZF0021,"pearl millet, raw,385,11.9,0,1.0,0.20,0.12,1.10,27,0.00",385,11.9,0,1.0,0.20,0.12,1.10,27,0.00,18,13.10,2.50
MZF0023,"rice, white, polished, raw,359,6.1,0,0.0,0.15,0.03,0.21",359,6.1,0,0.0,0.15,0.03,0.21,8,0.00,8,0.40,1.30
